Date,Open,High,Low,Close
05/20/2022,"29,370","31,346","28,637","29,121"
05/14/2022,"35,775","35,816","25,805","29,370"
05/07/2022,"38,332","39,890","35,387","35,775"
04/30/2022,"39,794","40,748","37,746","38,332"
04/23/2022,"40,356","42,949","38,639","39,794"
04/16/2022,"42,459","43,398","39,301","40,356"
04/09/2022,"46,208","47,367","42,138","42,459"
04/02/2022,"44,608","48,174","44,289","46,208"
03/26/2022,"42,256","45,097","40,550","44,608"
03/19/2022,"39,103","42,374","37,624","42,256"
03/12/2022,"39,378","42,552","37,187","39,103"
03/05/2022,"39,479","45,309","37,063","39,396"
02/26/2022,"39,936","40,152","34,413","39,479"
02/19/2022,"41,910","44,741","39,622","39,936"
02/12/2022,"41,670","45,758","41,229","41,910"
02/05/2022,"38,437","41,919","36,279","41,718"
01/29/2022,"35,461","38,874","33,070","38,437"
01/22/2022,"43,332","43,517","34,163","35,461"
01/15/2022,"41,786","44,401","39,712","43,346"
01/08/2022,"47,312","47,946","40,614","41,786"
01/01/2022,"51,003","51,976","45,715","47,312"
12/25/2021,"46,941","51,836","45,581","51,001"
12/18/2021,"48,847","50,767","45,539","46,941"
12/11/2021,"48,770","51,942","46,880","48,847"
12/04/2021,"54,601","59,146","42,169","48,745"
11/27/2021,"59,682","60,044","53,577","54,601"
11/20/2021,"64,317","66,311","55,688","59,682"
11/13/2021,"61,226","68,925","61,226","64,317"
11/06/2021,"61,698","64,243","59,716","61,223"
10/30/2021,"61,087","63,688","57,964","61,705"
10/23/2021,"61,013","66,923","59,071","61,087"
10/16/2021,"54,651","62,719","54,211","61,024"
10/09/2021,"48,045","55,981","46,993","54,651"
10/02/2021,"42,719","48,441","40,806","48,045"
09/25/2021,"48,008","48,359","39,721","42,719"
09/18/2021,"45,317","48,797","43,561","48,008"
09/11/2021,"50,195","52,918","43,917","45,333"
09/04/2021,"48,760","50,999","46,567","50,195"
08/28/2021,"49,070","50,478","46,383","48,760"
08/21/2021,"46,665","49,799","44,016","48,988"
08/14/2021,"43,945","48,103","42,832","46,665"
08/07/2021,"41,516","44,557","37,454","43,945"
07/31/2021,"33,919","42,247","33,851","41,516"
07/24/2021,"31,755","34,518","29,336","33,919"
07/17/2021,"33,329","34,611","31,085","31,755"
07/10/2021,"34,715","35,945","32,142","33,329"
07/03/2021,"31,315","36,548","30,968","34,715"
06/26/2021,"36,193","36,193","29,002","31,329"
06/19/2021,"36,041","41,289","34,888","36,193"
06/12/2021,"35,857","38,389","31,101","36,041"
06/05/2021,"34,266","39,469","33,554","35,826"
05/29/2021,"38,093","40,859","31,228","34,266"
05/22/2021,"38,468","42,569","33,623","38,086"
05/15/2021,"59,014","59,552","46,710","48,255"
05/08/2021,"57,685","59,556","53,058","59,014"
05/01/2021,"50,955","58,459","47,110","57,700"
04/24/2021,"60,843","60,966","47,657","50,955"
04/17/2021,"58,606","64,788","58,599","60,843"
04/10/2021,"58,038","61,197","55,494","58,621"
04/03/2021,"55,909","60,118","54,740","58,063"
